id,name,age,salary,hire_date,department,bonus,address,phone,email
1,Name_103,77.0,60000.0,2023-05-11,Marketing,8767.0,"Street 51, City 12",7323475298,email_140@example.com
2,Name_436,62.0,50000.0,2021-04-22,Marketing,7553.0,"Street 12, City 6",9633478479,email_38@example.com
3,Name_861,61.0,60000.0,2022-04-18,HR,6796.0,,,
4,Name_271,36.0,70000.0,,Unknown,8712.0,"Street 17, City 5",8423075763,email_194@example.com
5,Name_107,78.0,60000.0,2017-06-17,IT,3340.0,"Street 98, City 37",8158889415,email_592@example.com
6,Name_72,35.0,60000.0,2019-11-22,IT,,"Street 21, City 50",8833851973,email_403@example.com
7,Name_701,73.0,60000.0,2022-11-28,Finance,4939.0,"Street 85, City 8",8059849838,email_855@example.com
8,Name_21,18.0,60000.0,2023-07-23,IT,9299.0,"Street 55, City 22",1945122151,email_153@example.com
9,Name_615,42.0,50000.0,2024-01-03,IT,1337.0,"Street 22, City 22",8649164288,email_281@example.com
10,Name_122,44.0,50000.0,2024-03-06,HR,9691.0,"Street 78, City 16",4501884731,email_67@example.com
11,Name_467,24.0,70000.0,2023-06-13,Finance,,,,
12,Name_215,61.0,60000.0,2024-03-25,IT,9626.0,"Street 37, City 6",3712100083,email_255@example.com
13,Name_331,59.0,70000.0,2016-02-23,IT,6640.0,"Street 97, City 6",9804237887,email_172@example.com
14,Name_459,46.0,60000.0,,Unknown,2563.0,"Street 59, City 20",5757006993,email_241@example.com
15,Name_88,48.0,60000.0,2016-03-28,IT,3960.0,"Street 96, City 3",2369883570,email_32@example.com
16,Name_373,61.0,60000.0,2022-10-03,HR,4918.0,,,
17,Name_100,60.0,60000.0,2018-01-07,IT,1940.0,,,
18,Name_872,53.0,60000.0,2020-12-26,IT,9912.0,"Street 70, City 44",9306751172,email_188@example.com
19,Name_664,36.0,50000.0,2022-07-26,Marketing,2873.0,"Street 57, City 7",3579562727,email_291@example.com
20,Name_131,23.0,70000.0,2021-08-05,IT,7186.0,"Street 33, City 39",4035564799,email_2@example.com
21,Name_662,42.0,60000.0,,Finance,8614.0,"Street 14, City 28",5431403033,email_804@example.com
22,Name_309,48.0,70000.0,,Marketing,2228.0,"Street 29, City 12",9916221074,email_829@example.com
23,Name_770,26.0,60000.0,2017-05-16,Finance,3798.0,"Street 8, City 17",4123122735,email_88@example.com
24,Name_344,37.0,70000.0,2023-02-28,Finance,8729.0,"Street 84, City 41",5862644085,email_918@example.com
25,Name_492,27.0,60000.0,2015-10-07,HR,1665.0,"Street 74, City 46",5717574291,email_435@example.com
26,Name_414,54.0,60000.0,2017-08-06,IT,,"Street 59, City 14",9832626430,email_39@example.com
27,Name_806,44.0,60000.0,2019-01-18,Finance,5811.0,"Street 22, City 11",1874154914,email_6@example.com
28,Name_386,30.0,70000.0,2020-11-24,IT,,,,
29,Name_192,58.0,70000.0,,IT,5291.0,,,
30,Name_956,19.0,60000.0,2022-03-20,HR,3903.0,"Street 57, City 29",9215689871,email_528@example.com
31,Name_277,67.0,70000.0,2021-11-03,HR,6452.0,"Street 3, City 38",3813527809,email_837@example.com
32,Name_161,38.0,50000.0,2020-05-03,Finance,8945.0,,,
33,Name_460,50.0,70000.0,2017-10-31,Finance,,,,
34,Name_314,41.0,60000.0,2024-03-09,Marketing,6987.0,"Street 77, City 41",4871090048,email_584@example.com
35,Name_22,70.0,50000.0,2022-06-28,IT,2601.0,"Street 46, City 25",4901709623,email_275@example.com
36,Name_253,61.0,50000.0,2023-12-21,IT,9532.0,"Street 47, City 3",1990181986,email_614@example.com
37,Name_748,59.0,70000.0,2020-06-14,HR,7959.0,"Street 20, City 27",4640058732,email_318@example.com
38,Name_857,51.0,60000.0,2018-04-29,HR,2942.0,"Street 20, City 41",9848587995,email_926@example.com
39,Name_561,77.0,60000.0,2023-04-08,Finance,3797.0,,,
40,Name_475,26.0,60000.0,2017-11-17,Marketing,5474.0,,,
41,Name_59,19.0,50000.0,2025-05-11,Marketing,9108.0,,,
42,Name_511,72.0,60000.0,,HR,,"Street 51, City 46",6667325523,email_804@example.com
43,Name_682,73.0,50000.0,2021-04-05,HR,4217.0,"Street 85, City 5",4741926851,email_612@example.com
44,Name_476,47.0,60000.0,2023-12-05,Marketing,7777.0,"Street 95, City 25",8909576940,email_234@example.com
45,Name_700,48.0,60000.0,2020-12-03,Marketing,2328.0,"Street 23, City 50",2335526687,email_163@example.com
46,Name_976,63.0,70000.0,2019-04-17,Finance,4877.0,"Street 28, City 49",5796212883,email_775@example.com
47,Name_783,28.0,60000.0,2018-03-11,Marketing,2485.0,"Street 90, City 40",3115747819,email_476@example.com
48,Name_190,72.0,50000.0,2020-05-31,IT,3716.0,"Street 65, City 43",6490997084,email_32@example.com
49,Name_958,60.0,70000.0,2019-06-28,Marketing,9348.0,"Street 17, City 7",2527269381,email_454@example.com
50,Name_687,34.0,50000.0,,Unknown,6804.0,"Street 91, City 37",4084159717,email_653@example.com
51,Name_958,53.0,70000.0,,Marketing,9267.0,"Street 44, City 2",6971648250,email_466@example.com
52,Name_563,30.0,50000.0,2018-11-04,HR,8597.0,"Street 44, City 44",5512954116,email_282@example.com
53,Name_876,24.0,60000.0,2023-10-28,HR,6755.0,"Street 15, City 28",5472568844,email_1000@example.com
54,Name_567,33.0,60000.0,2017-07-19,Unknown,2930.0,"Street 52, City 6",4836732216,email_453@example.com
55,Name_244,50.0,60000.0,2020-01-05,IT,9941.0,"Street 16, City 2",6412396279,email_527@example.com
56,Name_832,62.0,60000.0,2016-08-24,Marketing,6149.0,"Street 12, City 24",2315412355,email_940@example.com
57,Name_505,18.0,60000.0,2015-10-30,Marketing,,"Street 82, City 6",3945148036,email_801@example.com
58,Name_131,28.0,70000.0,2017-01-15,Unknown,1663.0,"Street 8, City 22",6753866595,email_814@example.com
59,Name_485,23.0,60000.0,2018-04-19,Finance,1309.0,,,
